province,x,y
Badakhshan,230,140
Badghis,-120,40
Baghlan,100,80
Balkh,20,130
Bamyan,30,40
Daykundi,-20,0
Farah,-180,-60
Faryab,-80,100
Ghazni,50,-40
Ghor,-60,10
Helmand,-120,-100
Herat,-200,30
Jowzjan,-20,140
Kabul,110,35
Kandahar,-50,-120
Kapisa,125,50
Khost,140,-30
Kunar,170,60
Kunduz,80,130
Laghman,140,50
Logar,110,15
Nangarhar,160,30
Nimruz,-210,-120
Nuristan,180,80
Paktia,130,-15
Paktika,120,-70
Panjshir,130,70
Parwan,100,50
Samangan,60,100
Sar-e Pol,-30,80
Takhar,150,120
Uruzgan,-10,-50
Wardak,80,30
Zabul,40,-90
